Project/Issue Number,Title,Body,Original Labels,Qwen Full Label List,Qwen RAG labels only k=7,Qwen RAG labeled issue reports k=19,Gemma Full Label List,Gemma RAG labels only k=6,Gemma RAG labeled issue reports k=2,Llama Full Label List,Llama labels only k=6,Llama labeled issue reports k=2,LLM assigned labels are better?,LLM assigned labels are the same or better?
pytorch/pytorch/145801,torch.linalg.eigh fails on CPU,"### 🐛 Describe the bug

Based on this issue <URL> we see failure on CPU since PyTorch 2.4.0 Release.

Minumum test, requires [fc_layer_tensor.pt.zip](<URL> :
```The code loads a tensor from a file named `fc_layer_tensor.pt`, flattens it, and then computes the eigenvalues and eigenvectors of the outer product of the tensor with itself using `torch.linalg.eigh`.```

Output:
```````````````The log indicates that `test5.py` issued a warning about the use of `torch.load` with the default behavior, and then encountered an error from Intel oneMKL regarding an incorrect parameter. Subsequently, a runtime error occurred due to an illegal value argument when calling `torch.linalg.eigh`.```

Full test
```The code snippet initializes PyTorch for reproducibility and sets up device configuration. It loads MNIST dataset, defines a linear layer, and processes batches. It computes gradients, forms a preconditioner using Adagrad, and attempts to compute eigenvalues and eigenvectors on a GPU, which fails.```

### Versions

2.7.0

cc @ezyang @gchanan @zou3519 @kadeng @msaroufim @malfet @jianyuh @nikitaved @pearu @mruberry @walterddr @xwang233 @Lezcano","['module: regression', 'module: third_party', 'module: linear algebra']","['module: cpu', 'module: linear algebra']",['module: error checking'],"['module: bc-breaking', 'module: autograd']","['intel', 'rocm', 'unstable', 'core issue', 'security', 'compile-docs']",['oncall: cpu inductor'],"['module: cuda graphs', 'oncall: pt2']","['core issue', 'intel priority', 'intel', 'module: intel', 'module: assert failure']","['module: cuda graphs', 'module: python frontend']","['module: complex', 'module: python frontend']",0,0
rust-lang/rust/135554,build error: generated a symlink in a tarball,"When building rust-1.84.0 from the source tarball on Linux I'm seeing the following in a backtrace:

`thread 'main' panicked at src/utils/tarball.rs:397:21: generated a symlink in a tarball: /builddir/build/BUILD/rustc-1.84.0-src/build/tmp/tarball/rustc/x86_64-unknown-linux-gnu/rustc-1.84.0-x86_64-unknown-linux-gnu/rustc/lib/rustlib/x86_64-unknown-linux-gnu/bin/rust-objcopy`

My config.toml has the following:

```This code snippet defines a configuration profile for building Rust projects. It specifies settings for LLVM, build targets, tools to install, and various compilation options. Key settings include shared LLVM linking, specific Rust targets, paths to Cargo and Rust tools, and details about sanitizers, profiling, and more.```

Looking at another issue I tried `llvm-tools = false` and hit a different issue:

`src.symlink_metadata() failed with No such file or directory (os error 2) (""src = /builddir/build/BUILD/rustc-1.84.0-src/build/x86_64-unknown-linux-gnu/stage2/lib/rustlib/x86_64-unknown-linux-gnu/bin/llvm-objcopy"")`

I'm inclined to just patch out the test for the symlink in the tarfile for now as that appears to be only there because of windows but this seems like a problem regardless.","['T-bootstrap', 'C-bug']","['C-bug', 'A-debuggers', 'A-debuggers-lldb']","['C-bug', 'A-cross']","['T-bootstrap', 'C-bug', 'A-contributor-roadblock']","['C-bug', 'C-cleanup', 'C-crater', 'C-feature-request', 'NLL-diagnostics', 'T-compiler', 'T-lang']","['T-compiler', 'C-bug', 'P-medium']","['A-cross', 'T-bootstrap', 'C-bug']","['C-bug', 'C-cleanup', 'T-compiler', 'P-low']","['C-bug', 'T-compiler']","['A-cross', 'T-bootstrap', 'C-bug']",0,1
spring-projects/spring-boot/44909,TaskExecution documentation should describe what happens when multiple Executor beans are present,Forward port of issue #44908 to 3.5.x.,['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],['type: enhancement'],"['type: documentation', 'type: bug', 'type: task']","['type: documentation', 'type: task']","['type: documentation', 'type: enhancement']",0,1
denoland/deno/27243,"[npm resolution]: Error importing submodule when it begins with an ""@"" namespace","I'm a user of the [postgraphile](<URL> package. Because of problems with peer dependencies across different package managers, the maintainer [re-exports dependent packages in the package.json](<URL> as submodules, e.g., `postgraphile/cli` or `postgraphile/grafast`. 

Normally this works fine, but when attempting to import from the path `postgraphile/@dataplan/pg`, I seem to run into an issue with the way deno is parsing the path. In my editor, it shows that the path is not found:

![Screenshot 2024-12-05 at 2 00 33 PM](<URL>

When I try and run a script, it gives me the following error: 

```The log indicates that Deno encountered an invalid package specifier 'npm:postgraphile@^5.0.0-beta.35/@dataplan/pg' in the file `main.ts` at line 2, column 32. It suggests that the intended specifier might have been 'npm:postgraphile@^5.0.0-beta.35@dataplan/pg/'.```

With some research, it looks like there is a regex check somewhere in [resolutions.ts](<URL> set to err if the package starts with the ""@"" symbol.

Is there anyway to permit this given that there is no issue with other package managers? If not, is there a way to alias it to avoid this issue?

Thanks in advance!

Version:
deno 2.1.2 (stable, release, aarch64-apple-darwin)
v8 13.0.245.12-rusty
typescript 5.6.2

","['bug', 'node resolution']","['bug', 'resolution', 'peerDependencies']","['bug', 'install']","['bug', 'std', 'deno info']","['bundler-resolution', 'node resolution', 'bug']","['bug', 'install']",['bug'],"['bug', 'node resolution', 'resolution']","['bug', 'node compat']",[],1,1
vercel/next.js/73793,JavaScript heap out of memory during next build (Next 15.1),"### Link to the code that reproduces this issue

<URL>

### To Reproduce

1. Have a moderately complex page to build (generateStaticParams + parallel routes)
2. `next build`
3. process will crash `JavaScript heap out of memory` (usually during the 'Collecting page data' step)

### Current vs. Expected behavior

`next build` process doesn't crash.

### Provide environment information

```The log shows the following details:

- Binaries: Node.js version 22.12.0, npm version 10.9.0, Yarn version 1.22.19, and pnpm version 8.10.2.
- Relevant Packages: Next.js version 15.1.1-canary.0, React version 19.0.0, React DOM version 19.0.0, and TypeScript version 5.3.3. The `eslint-config-next` package is not installed.
- Next.js Config: Output configuration is not specified.
- Node.js version 20 was also tested.```


### Which area(s) are affected? (Select all that apply)

Not sure

### Which stage(s) are affected? (Select all that apply)

next build (local), Vercel (Deployed)

### Additional context

The crash doesn't happen if I reduce the size of the array returned by `generateStaticParams` or if I remove a couple parallel routes. This happens on all platform I tested: Vercel, locally and on codesandbox.io.
This used to work correctly with `next@15.0.4`.","['bug', 'locked']","['bug', 'Parallel & Intercepting Routes']",['bug'],"['bug', 'locked', 'Performance']","['bug', 'Performance', 'TypeScript']","['bug', 'Runtime', 'linear: next']",[],"['bug', 'Performance', 'Parallel & Intercepting Routes', 'TypeScript']","['bug', 'Runtime', 'linear: next']","['bug', 'locked']",1,1
pytorch/pytorch/141710,compiling attention layer with dynamic shapes yields nans,"Repro below minified from a torchtune model, still investigating:
```The code snippet defines and compiles a forward pass function for a transformer model using PyTorch. It involves several linear transformations, normalization, positional embedding interactions, and scaled dot-product attention mechanisms. The function accepts numerous parameters related to model weights and configurations, processes input tensors through these operations, and returns the attention output. The compiled function is then invoked with randomly generated input tensors and checks for NaN values in the output.```

cc @ezyang @gchanan @zou3519 @kadeng @msaroufim @chauhang @penguinwu @bobrenjc93","['oncall: pt2', 'module: dynamic shapes']",[],"['module: dynamo', 'module: numerical-stability', 'module: dynamic shapes']",[],['advanced'],['module: dynamic shapes'],[],[],"['module: pt2-dispatcher', 'module: flex attention', 'module: complex']","['oncall: pt2', 'module: dynamo']",0,1
microsoft/vscode/240393,add `activeEditorState` window title variable to editor's a11y help dialog,"cc @jooyoungseo and @rperez030 while we decide if this should be the default, I'm going to add it to the editor's help dialog for discoverability.


","['feature-request', 'accessibility', 'insiders-released']","['a11ymas', 'accessibility', 'accessibility-signal']","['accessibility', 'workbench-editors']","['feature-request', 'accessibility', 'insiders-released']","['accessibility', 'a11y-partner', 'a11ymas']","['accessibility', 'feature-request']","['feature-request', 'accessibility']","['a11y-partner', 'accessibility', 'accessibility-signal']","['feature-request', 'accessibility', 'polish']","['feature-request', 'accessibility', 'insiders-released']",0,1
sveltejs/svelte/14455,Function Overloading Bugging Rollup when Reading .svelte Files,"### Describe the bug

When I have a component which includes function overloading (inside `<script module>`):
```The code defines a function `test` with multiple overloads and an implementation. The overloads specify different parameter types, while the implementation logs the type and props to the console.```
Everything seens fine on the IDE but I still get this weird Rollup Error when running Vite or on the Playground:
```The log indicates that Vite encountered an error while evaluating an SSR module located at `/src/routes/+layout.server.ts`. The error is a `RollupError` stating that it expected a `{` but found a `;` instead. This error originates from issues with parsing the AST (Abstract Syntax Tree) of the module.```

### Reproduction

<URL>
```The code snippet defines a Svelte component with a TypeScript function named `test`. The function can be called with either two parameters (`type` and `props`) or one parameter (`type`). The `type` parameter is a string that determines the behavior of the function, and `props` is an optional object containing additional properties.```

### Logs

_No response_

### System Info

```The system is running Windows 10 with an AMD Ryzen 9 3900X processor and 31.92 GB of RAM. It has Node.js version 20.11.1, npm version 9.7.1, and pnpm version 9.14.2 installed. The user has Chrome version 131.0.6778.86 and Edge Chromium version 127.0.2651.74. Internet Explorer version 11.0.19041.4355 is also installed. The npm package Svelte is installed at version 5.2.1.```


### Severity

annoyance",['types / typescript'],"['bug', 'compiler', 'ssr']","['bug', 'types / typescript']",['types / typescript'],"['bug', 'compiler']","['bug', 'types / typescript']",[],"['bug', 'compiler', 'ssr']",['bug'],[],1,1
spring-projects/spring-framework/34234,ApplicationListener no longer invoked for double generic ApplicationEvent with 6.2.1,"This issue is next step [this issue.](<URL>

So: 

I have simple interface like this:

```This code snippet defines an empty interface named `ITest` in Java.```

and this:

```This code snippet defines an empty interface named `ITest2` in Java.```

and the simple event:

```This code snippet defines a Java class `TestEvent` that extends `ApplicationEvent`. It has a generic type parameter `T` that must implement `ITest`. The class has a constructor that takes an `Object` as the source and calls the superclass constructor with this source.```

and listener:

```This code snippet defines a Spring bean annotated with `@Component` that listens for events of type `TestEvent<T>`, where `T` is a generic type extending both `ITest` and `ITest2`. When an event is triggered, it prints a message to the console.```

and when i trying to send an event via the spring context like this:

```This code snippet initializes a Spring application context using `AnnotationConfigApplicationContext` with `AppConfig` as configuration and then publishes a `TestEvent` with an empty string as the event data.```
I have different result in depends on the version Spring. 
When i use Spring 6.2.1 i can't see in the log anything.

when i use Spring 6.1.16 i see this result:

```The code snippet provided is incomplete and only shows the class definition starting with `class...MyListener DONE!`.```

I guess it's a bug.","['type: regression', 'in: core']","['type: regression', 'in: messaging']","['type: regression', 'in: core']","['type: regression', 'in: core', 'theme: aot']","['in: messaging', 'type: bug', 'type: regression']",['in: core'],"['type: regression', 'in: core']","['in: core', 'type: bug', 'type: regression']","['type: regression', 'in: core']","['type: regression', 'in: core']",0,1
pytorch/pytorch/143828,[DCP]Distributed checkpoint `set_optimizer_state_dict` cause optimizer step error when optimizer contains empty param group,"### 🐛 Describe the bug

DCP `set_optimizer_state_dict` introduce wrong param group and cause `optim.step` raise error when original state dict contains param group that doesn't have any parameters.

* Error Message

```The log indicates that an error occurred during the execution of `dcp_bug.py` on rank 1. The error is a `KeyError` with the message `'betas'`, which arises when trying to access the `""betas""` key in a group dictionary. This happens within the `step` method of the AdamW optimizer in PyTorch.```

* Code

`torchrun --nnodes=1 --nproc-per-node=4 --standalone /path/to/pytorch_bug/dcp_bug.py`

```The code initializes a distributed computing environment using PyTorch's distributed package. It defines a simple neural network module, parallelizes it across devices, and sets up an optimizer. It then performs a forward pass, computes a loss, and updates the optimizer state. The final lines save the optimizer state from one optimizer and load it into another, demonstrating optimizer state checkpointing.```


### Versions

```The log details the configuration and versions of PyTorch and its dependencies running on an Ubuntu 22.04 system with CUDA 12.4 and cuDNN 9.1.0.70. It includes information about Python version, installed libraries, and hardware details such as GPU driver version 535.86.10. The specific versions of PyTorch and related packages are also noted, including torch 2.6.0.dev20241222+cu124 and torchvision 0.22.0.dev20241222+cu124. XNNPACK and CUDA runtime are also enabled.```

cc @H-Huang @awgu @kwen2501 @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @c-p-i-o @vincentqb @jbschlosser @albanD @janeyx99 @crcrpar @LucasLLC @pradeepfn","['oncall: distributed', 'module: optimizer']",[],"['oncall: distributed', 'oncall: distributed checkpointing']",[],['distributed-backlog'],"['oncall: distributed', 'oncall: distributed checkpointing', 'release notes: distributed (checkpoint)']",[],"['core issue', 'oncall: distributed checkpointing']","['oncall: distributed checkpointing', 'oncall: distributed']","['oncall: distributed', 'oncall: distributed checkpointing']",0,1
spring-projects/spring-boot/44437,Kafka message sending fails with 'class SslBundleSslEngineFactory could not be found',Forward port of issue #44414 to 3.4.x.,['type: bug'],"['type: bug', 'theme: ssl']",['type: bug'],['type: bug'],"['type: bug', 'theme: ssl']",['type: bug'],['type: bug'],"['type: bug', 'theme: ssl', 'type: blocker']",['type: bug'],['type: bug'],1,1
NationalSecurityAgency/ghidra/7435,AArch64 Rust binary decompiler error: `Low-level Error: Overlapping input varnodes`,"**Describe the bug**
In some Rust AArch64 binaries the decompiler shows `Low-level Error: Overlapping input varnodes` instead of the decompiled code.

**To Reproduce**
Steps to reproduce the behavior:

0. Extract the attached .zip
1. Import and analyze the extracted .elf file
2. Go to `FUN_00230680`
3. See error `Low-level Error: Overlapping input varnodes`

**Expected behavior**
The function is decompiled without errors.

**Screenshots**

![Image](<URL>

**Attachments**

[rust-rayon2.zip](<URL>

**Environment (please complete the following information):**
 - OS: Linux fedora 6.12.9-200.fc41.x86_64
 - Java Version: openjdk 21.0.4 2024-07-16 LTS
 - Ghidra Version: 11.4_DEV
 - Ghidra Origin: locally built from the GitHub repo without any changes (commit [e0fd708d](<URL>

**Additional context**
Might be related to #7433
",['Feature: Decompiler'],"['Type: Bug', 'Feature: Decompiler', 'Feature: Processor/AARCH64']",['Feature: Decompiler'],"['Feature: BSim', 'Type: Bug']","['Feature: Decompiler', 'Type: Bug']",['Feature: Decompiler'],['Feature: Decompiler'],"['Feature: Decompiler', 'Type: Bug']",['Feature: Decompiler'],['Feature: Decompiler'],1,1
JuliaLang/julia/57402,help? mode: Error showing value of type Markdown.MD,"On today's nightly:

```````The code snippet provides documentation for the `round` function in Julia, including how it handles rounding complex numbers and various rounding modes. It also includes examples of usage and demonstrates an error related to type handling and syntax highlighting, which is not part of the `round` function itself. The error indicates a method mismatch and involves the `keys` function and syntax highlighting modules.```","['REPL', 'regression', 'docsystem']",['markdown'],['bug'],[],"['bug', 'docs', 'markdown']","['bug', 'docs']",['bug'],"['bug', 'error messages', 'docs']","['bug', 'REPL']",['bug'],1,1
pytorch/pytorch/147627,Enforce full FIPS compliance with hashlib - ruff rule S324 on python 3.9+,"### 🚀 The feature, motivation and pitch

This is to more broadly address the issue here. We need to add a special flag for compliance reasons that the hashlib function is not being used for cryptographic applications. More details can be found here: <URL> . In most builds of Python, this will serve as a noop.

We can enforce FIPS compliance o the hashlib this codebase wide pretty easily with ruff rule [S324](<URL> We just need to have someone go and manually add usedforsecurity=False to all the hashlib calls in the codebase. The documentation for the rule doesn't mention the usedforsecurity suppression so I added it to the ruff docs so I opened an issue to improve the docs: <URL>

Steps to resolve this issue:

* Enable S324 in the pyproject.toml for RUFF
* Scan the codebase for all flagged issues. Double check they are not in fact being used for a cryptographically secure application. If not add usedforsecurity=False, if so please flag.
* Open a PR with the ruff rule enabled, and all the fixes linking back to this issue.

### Alternatives

Leave as is.

### Additional context

_No response_","['module: lint', 'enhancement']","['better-engineering', 'enhancement']",['module: lint'],"['module: lint', 'better-engineering']","['advanced', 'security', 'compile-docs', 'lint-all-files']",['module: lint'],[],"['security', 'enhancement', 'python']","['better-engineering', 'small']","['module: lint', 'better-engineering']",1,1
spring-projects/spring-boot/44520,"Remove MessageSourceAutoConfigurationIntegrationTests, MessageSourceAutoConfigurationProfileTests, and SpringJUnitTests ","All three tests appear to be testing functionality that's tested elsewhere.

-  `MessageSourceAutoConfigurationIntegrationTests` is testing that a configuration property can be set by `@SpringBootTest`
- `MessageSourceAutoConfigurationProfileTests` is testing that profile can be activated by `@ActiveProfiles` and that a profile-specific configuration file is then loaded
- `SpringJUnitTests` is testing that `@Value` can resolve placeholders from the environment and that the environment has been populated by `application.properties",['type: task'],['type: task'],['type: task'],['type: bug'],"['type: regression', 'theme: config-data']",['type: task'],['type: bug'],"['type: bug', 'type: task', 'theme: config-data']",['type: task'],[],0,1
spring-projects/spring-boot/43984,Source snippet in Developing Your First Spring Boot Application section uses the root package,Forward port of issue #43983 to 3.5.x.,['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],['type: documentation'],['type: bug'],"['type: bug', 'type: documentation']","['type: bug', 'type: documentation']",['type: bug'],0,1
pytorch/pytorch/145225,The `sympy` dependency spec for pytorch on PyPi wheel is still unchanged.,"When run `pip install -U torch`, it will still require `sympy==1.13.1` and will uninstall the latest `sympy` which is version `1.13.3` in the virtual environment.

The reason is due to the dependency spec unchanged in `setup.py`.","['oncall: releng', 'module: third_party']","['dependencies', 'dependency issue']","['module: binaries', 'module: regression']","['module: binaries', 'module: regression']",['dependency issue'],"['module: binaries', 'module: build']",[],"['dependency issue', 'easy', 'python']","['module: binaries', 'module: python frontend']",['module: binaries'],0,1
denoland/deno/27214,crypto.timingSafeEqual does not throw on different byteLength,"Version: Deno 2.1.2

See <URL>

> they must have the same byte length. An error is thrown if a and b have different byte lengths


<URL>

Node:

```The log shows an attempt to use the `timingSafeEqual` method from the Node.js `crypto` module on two `Uint8Array` objects of different lengths, resulting in a `RangeError` with the message ""Input buffers must have the same byte length"" and the code `ERR_CRYPTO_TIMING_SAFE_EQUAL_LENGTH`.```

Deno:
```The code checks if the `timingSafeEqual` method from the `node:crypto` module is available in the global environment and then calls it with two `Uint8Array` objects. The result of the call is `false`.```","['bug', 'node compat', 'crypto']","['bug', 'crypto']","['bug', 'crypto', 'node compat']","['bug', 'crypto', 'node compat']","['bug', 'crypto', 'node compat']","['bug', 'node compat', 'crypto']","['bug', 'node compat']","['crypto', 'bug', 'node compat']","['bug', 'node compat', 'crypto']","['bug', 'node compat']",0,1
rust-lang/rust/138220,tests/ui/meta/no_std-extern-libc.rs fails `aarch64-apple`,"<URL>

<URL>

`````````The log shows that most UI (User Interface) tests passed, but one test failed. The failing test is `tests/ui/meta/no_std-extern-libc.rs`. The failure is due to an error during the compilation of this test file, specifically an `E0464` error indicating that there are multiple candidates for the `rlib` dependency `libc`. The error details show two conflicting `libc` libraries present in the build directory, causing the compilation to fail.```","['T-bootstrap', 'C-bug', 'A-download-rustc']","['A-no_std', 'O-aarch64-unknown-linux-musl']","['C-bug', 'A-testsuite']","['A-testsuite', 'C-bug', 'T-libs', 'O-tvos']","['A-no_std', 'T-compiler', 'T-lang']","['T-libs', 'A-CI']","['T-bootstrap', 'C-bug', 'O-loongarch']","['A-ABI', 'A-linkers', 'A-LLVM', 'A-ABI', 'C-bug', 'A-ABI', 'NLL-diagnostics', 'NLL-sound', 'A-no_std', 'T-core', 'T-compiler', 'P-critical']","['A-testsuite', 'T-compiler', 'A-compiletest']","['A-testsuite', 'T-bootstrap', 'C-bug']",1,1
JuliaLang/julia/57574,Setting a type alias in local scope doesn't define the variable anymore in some special cases,"This used to work in 1.11 but errors in 1.12 with `B` not defined:

```The code defines a generic struct `A` and contains nested `let` blocks with an empty loop that does nothing, followed by an assignment of `B{T}` to `A{T}` within a `let` block, but `B` is not used outside its scope.```

Bisected to <URL>",['regression'],"['bug', 'regression 1.12']","['regression 1.12', 'bug', 'types and dispatch']","['compiler:lowering', 'regression 1.12']","['bug', 'bugfix', 'compiler:inference', 'regression', 'regression 1.12', 'types and dispatch']","['regression 1.12', 'bug', 'types and dispatch']",[],"['bug', 'types and dispatch', 'compiler:lowering', 'regression 1.12']","['bug', 'types and dispatch', 'regression 1.12']","['compiler:lowering', 'regression 1.12']",1,1
php/php-src/17246,Nested shm protections cause segfault,"### Description

The following code:

```The code defines a `Cycle` class with a constructor that creates an anonymous function using a variable `$obj`. It then creates 10,000 instances of `Cycle` in a loop. Finally, it requires a file named `xpath_callables.inc`.```

Resulted in this output:
```The log indicates an AddressSanitizer error resulting in a segmentation violation (SEGV) due to a write access to an unknown address (0x0000418f412c). The error originates from the `accel_new_interned_string` function in `ZendAccelerator.c` at line 542. The stack trace shows that this issue is triggered during the script persistence calculation process in the Zend Accelerator module. The process ultimately leads to the abortion of the program.```

To reproduce:
```The code snippet sets configuration directives for PHP's OPcache module in a command-line interface (CLI) context. It enables OPcache protection memory features, loads the OPcache extension, and enables Just-In-Time (JIT) compilation with a specific opcode limit of 1254.```


### PHP Version

nightly

### Operating System

_No response_","['Bug', 'Extension: opcache']","['Bug', 'Category: Engine', 'Extension: opcache', 'Category: JIT']","['Bug', 'Category: Engine', 'SAPI: phpdbg']","['Bug', 'Category: Engine', 'Extension: opcache']","['Bug', 'Category: Engine', 'Category: Optimizer', 'Extension: opcache']","['Bug', 'Category: JIT']","['Bug', 'Category: JIT']","['Bug', 'Category: JIT', 'Category: Program Execution', 'Extension: opcache']","['Bug', 'Category: JIT', 'Category: Engine']","['Bug', 'Category: JIT']",1,1
microsoft/terminal/18331,Alt and F7 don't work in 1.23.3481.0,"### Windows Terminal version

1.23.3481.0

### Windows build number

10.0.19045.5247

### Other Software

FAR Manager 3.0.6401.0 x64

when migrate from canary build terminal-1.23.3461.0 to next canary build terminal-1.23.3481.0
i have trouble with keys: Alt/RAlt and F7

### Steps to reproduce

run utility KeyEvents.exe and press Alt and F7



### Expected Behavior

result when press Alt:

terminal-1.23.3461.0 - good behavior
02:56:37 KEY_EVENT_RECORD: Dn, 1, Vk=""VK_MENU"" [18/0x0012], Scan=0x0038 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000002 (cAsac - ecns) (Windowed)
02:56:37 KEY_EVENT_RECORD: Up, 1, Vk=""VK_MENU"" [18/0x0012], Scan=0x0038 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000000 (casac - ecns) (Windowed)

result when press f7:

terminal-1.23.3461.0 - good behavior

03:08:36 KEY_EVENT_RECORD: Dn, 1, Vk=""VK_F7"" [118/0x0076], Scan=0x0041 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000000 (casac - ecns) (Windowed)
03:08:36 KEY_EVENT_RECORD: Up, 1, Vk=""VK_F7"" [118/0x0076], Scan=0x0041 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000000 (casac - ecns) (Windowed)

### Actual Behavior

result when press Alt:

terminal-1.23.3481.0 - bad behavior
02:54:44 KEY_EVENT_RECORD: Up, 1, Vk=""VK_MENU"" [18/0x0012], Scan=0x0038 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000002 (cAsac - ecns) (Windowed)


result when press f7:

terminal-1.23.3481.0 - bad behavior
03:02:27 KEY_EVENT_RECORD: Dn, 1, Vk=""VK_F7"" [118/0x0076], Scan=0x0041 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000000 (casac - ecns) (Windowed)
03:02:27 KEY_EVENT_RECORD: Dn, 1, Vk=""VK_F7"" [118/0x0076], Scan=0x0041 uChar=[U=' ' (0x0000): A=' ' (0x00)]
         Ctrl=0x00000000 (casac - ecns) (Windowed)
","['Issue-Bug', 'Product-Terminal', 'In-PR', 'Priority-2', 'Area-Windowing']","['Area-Input', 'Issue-Bug', 'Severity-Crash']","['Issue-Bug', 'Product-Terminal', 'Area-Input']","['Issue-Bug', 'Area-Input', 'Product-Terminal', 'In-PR']","['Area-Accessibility', 'Issue-Bug', 'Impact-Compatibility', 'Disability-All', 'Severity-Blocking', 'WindowsTerminal_Win32']","['Issue-Bug', 'Area-Input', 'Area-TerminalControl', 'Priority-3']","['Area-Input', 'Issue-Bug', 'Product-Terminal', 'In-PR']","['Area-TerminalControl', 'Area-Input', 'Area-Windowing', 'Issue-Bug', 'Priority-1', 'Severity-Blocking', 'Impact-Visual', 'Area-UserInterface', 'Gathering-Data', 'HCL-WindowsTerminal']","['Issue-Bug', 'Product-Terminal', 'Area-TerminalControl', 'Area-UserInterface', 'Priority-3']","['Area-Input', 'Issue-Bug', 'Product-Terminal', 'In-PR']",1,1
rust-lang/rust/138048,ICE when using a constant as a pattern,"

Bisected to 8c392966a013fd8a09e6b78b3c8d6e442bc278e1 (#137848).

### Code

`````The code defines a struct `Foo` with a constant parameter `V`. It also defines a trait `Bar` with a generic lifetime parameter `'b`. An impl block provides an implementation for `Bar` for `Foo<V>`, where `V` is a constant parameter. The implementation of `bar` method matches on the value of `n` against `V`. The code snippet notes that an internal compiler error (ICE) is triggered under certain conditions related to the presence of the constant parameter and lifetime parameter.```


### Meta


`rustc --version --verbose`:
```The log indicates that the Rust compiler version is 1.87.0-nightly, built on 2025-03-04 with commit hash f9e0239a7. It is hosted on an x86_64-unknown-linux-gnu platform and includes LLVM version 20.1.0.```

### Error output

```The code snippet shows an error `E0158` indicating that constant parameters (`V`) cannot be referenced in patterns within the implementation of the `Bar` trait for `Foo<V>`. The error occurs at line 13 where `V` is referenced in a pattern.```


<details><summary><strong>Backtrace</strong></summary>
<p>

`````The log indicates that the Rust compiler (version 1.87.0-nightly) encountered an internal error while building the THIR (Three-Address Intermediate Representation) for a specific implementation block. The error occurred at `compiler/rustc_mir_build/src/thir/util.rs:25:14`. The error message suggests that a `Box<dyn Any>` was involved, but the exact nature of the issue is not specified.

The compiler then attempted to handle the error by calling various functions related to panic handling and diagnostic reporting. The stack trace shows that the error originated from the THIR build process and propagated through several layers of the compiler's query system and analysis passes.

The query stack trace indicates that the error happened while building the THIR for an implementation block at `src/lib.rs:10`, and it also mentions that the analysis passes were running on the current crate when the error occurred.```

</p>
</details>
","['I-ICE', 'T-compiler', 'C-bug']","['C-bug', 'I-ICE', 'T-lang']","['I-ICE', 'T-compiler', 'C-bug', 'F-inline_const_pat']","['I-ICE', 'T-compiler', 'C-bug', 'requires-nightly']","['NLL-diagnostics', 'T-compiler', 'T-lang', 'I-ICE']","['I-ICE', 'T-compiler', 'C-bug', 'F-const_trait_impl', 'F-generic_const_items', 'requires-nightly']",[],"['I-ICE', 'T-compiler', 'NLL-diagnostics']","['I-ICE', 'T-compiler', 'C-bug', 'F-generic_const_items', 'F-const_trait_impl']","['I-ICE', 'T-compiler', 'C-bug', 'F-generic_const_items']",0,1
php/php-src/18148,pg_copy_from no longer accepts linefeed,"### Description

After creating a PostgreSQL table with:

```This SQL statement creates a table named `ttt` with two columns: `aaa` of type `integer` and `bbb` of type `text`.```

The following code:

```This PHP code snippet connects to a PostgreSQL database and attempts to insert data using `pg_copy_from`. If the connection fails, it dies with an error message. If `pg_copy_from` fails, it dies with the last error message from the database.```

Resulted in this output:

```The log indicates a PHP warning related to a PostgreSQL `pg_copy_from()` function call. The copy operation failed due to invalid input syntax for an integer type. Specifically, an empty string ("""") was encountered in the ""id"" column on line 2 of the input data being copied into the ""ttt"" table. The error originated from the `pg_strtoint32` function at line 320 of the numutils.c file.```

But I expected *no* output instead.

As the error messages indicates: Although I have given only one row of data, PostgreSQL sees two rows.

The following code, however (note the missing linefeed in the array element), applied to the same database:

```This PHP code snippet connects to a PostgreSQL database and attempts to insert a single row of data using `pg_copy_from`. If the connection fails, it dies with an error message. If `pg_copy_from` fails, it dies with the last PostgreSQL error.```

Resulted in no output, as expected.

According to the documentation of the parameter `rows` of the function `pg_copy_from`: ""Values should be linefeed terminated."" So the first code block should be accepted.

With PHP 8.1, both code blocks produce no output as expected.
I have not tested PHP 8.2 and PHP 8.3.
With PHP 8.4, the error above appears as a regression.




### PHP Version

PHP 8.4.5

### Operating System

Alma Linux 9","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql', 'Category: Program Execution', 'OS: Linux']","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql', 'Category: SAPI']","['Bug', 'Extension: pgsql']","['Bug', 'Extension: pgsql']",0,1
